Member_ID,Join_Date,Gender,Age,Membership_Type,Tenure_Months,Avg_Visits_Per_Week,Last_Visit_Date,Days_Since_Last_Visit,Monthly_Fee,Total_Revenue
M00001,2023-08-14,Female,35,Premium,18,4.1,2025-01-26,6,60,1080
M00002,2022-08-03,Female,24,Weekend,30,1.42,2025-01-03,29,25,750
M00003,2024-04-18,Male,40,Standard,10,3.43,2025-01-28,4,40,400
M00004,2022-02-04,Female,18,Standard,36,1.94,2025-01-22,10,40,1440
M00005,2023-09-07,Male,44,Premium,17,3.97,2025-01-27,5,60,1020
M00006,2022-01-14,Female,47,Premium,37,4.25,2025-01-30,2,60,2220
M00007,2024-02-09,Female,30,Premium,12,4.56,2025-01-31,1,60,720
M00008,2024-02-04,Female,33,Weekend,12,1.31,2025-01-15,17,25,300
M00009,2023-07-25,Male,49,Standard,19,2.87,2025-01-26,6,40,760
M00010,2022-12-26,Male,22,Standard,26,2.11,2025-01-20,12,40,1040
M00011,2022-10-10,Female,36,Premium,28,3.59,2025-01-30,2,60,1680
M00012,2022-02-27,Female,42,Weekend,36,2.29,2025-01-09,23,25,900
M00013,2022-07-07,Male,26,Weekend,31,2.4,2025-01-07,25,25,775
M00014,2023-08-30,Male,40,Premium,18,4.3,2025-01-22,10,60,1080
M00015,2024-12-20,Male,45,Premium,2,3.44,2025-01-24,8,60,120
M00016,2024-05-16,Female,26,Premium,9,4.55,2025-01-25,7,60,540
M00017,2023-10-12,Male,29,Premium,16,2.56,2025-01-23,9,60,960
M00018,2023-02-01,Male,35,Standard,24,1.71,2025-01-19,13,40,960
M00019,2024-11-01,Male,44,Standard,3,2.82,2025-01-25,7,40,120
M00020,2023-06-07,Male,43,Premium,20,3.23,2025-01-25,7,60,1200
M00021,2022-02-26,Male,41,Standard,36,3.4,2025-01-28,4,40,1440
M00022,2022-05-05,Male,43,Premium,33,3.59,2025-01-27,5,60,1980
M00023,2022-11-14,Male,27,Premium,27,3.57,2025-01-31,1,60,1620
M00024,2024-10-05,Female,43,Premium,4,4.2,2025-01-23,9,60,240
M00025,2024-07-20,Male,46,Standard,7,3.04,2025-01-26,6,40,280
M00026,2022-10-10,Female,34,Standard,28,2.45,2025-01-20,12,40,1120
M00027,2024-03-09,Female,36,Premium,11,3.04,2025-01-28,4,60,660
M00028,2023-12-02,Male,49,Standard,14,3.05,2025-02-01,0,40,560
M00029,2023-08-30,Female,41,Standard,18,2.14,2025-01-11,21,40,720
M00030,2023-05-19,Female,28,Premium,21,2.94,2025-01-09,23,60,1260
